Id, [Rank] Name [Guild], Wins, BW Level, Kills, Final Kills, W/L, K/D, Final K/D
142,[MVP+] xFa1ZaAxOAOo [HEARTS],8549,891,49933,24118,1.50,0.90,4.17
143,[MVP+] Braz1lian [BRASIL],8539,745,27209,19259,4.43,0.74,9.12
144,[MVP+] Sam,8537,405,12591,22590,9.22,0.59,21.49
145,[MVP++] 12345098 [ANNOY],8522,718,33519,35152,1.64,1.13,6.66
146,[MVP+] SHGG [IYN],8517,592,16071,28901,6.12,0.52,19.50
147,[MVP] Whqfex,8500,554,26183,22323,2.34,0.56,5.70
148,Tux3do [GGMEN],8457,571,20365,24817,8.59,0.87,23.66
149,[MVP+] Infernally [GGMEN],8430,645,22187,25414,10.06,0.79,28.49
150,[MVP+] soDone,8427,440,22353,36417,6.10,0.96,24.72
151,[MVP+] alvxno,8367,476,16880,21846,4.71,0.54,12.21
152,[MVP+] Fadeing [FAZE],8306,513,12939,17428,3.73,0.47,8.32
153,[MVP++] xJayy6 [DREAM],8300,583,43524,26407,2.84,1.63,11.01
154,[MVP+] Daboof [GOD],8300,506,17356,17429,5.34,0.73,10.15
155,DummiFreeOmniRef,8298,541,15200,17345,4.85,0.69,10.83
156,[MVP++] Tech_Destroyer [HEARTS],8296,686,26208,24763,3.41,0.82,9.06
157,[MVP+] BeAGoodSport [ANNOY],8287,640,22349,32450,10.01,0.96,36.22
158,[MVP++] Vermilion1 [KEK],8282,599,16724,19272,2.41,0.41,5.45
159,[MVP+] okaydude,8265,635,29886,28036,2.04,0.78,7.64
160,[MVP+] SAAAAAAAAAAAAAAD [SAD],8244,726,21640,21461,2.19,0.54,5.22
161,[MVP+] Crazy__Jacky [MAD],8238,757,24070,23484,5.95,0.60,15.80
162,[MVP+] Jazzmyn [FOO],8210,817,40110,28068,1.72,0.87,5.85
163,[MVP+] Nightrax [FAZE],8193,727,32339,26530,1.50,0.76,5.67
164,[MVP+] NoobyBoy25 [FAZE],8160,617,23143,26459,1.81,0.50,5.87
165,[MVP+] xROSIE [IYN],8112,471,9683,20111,11.38,0.55,27.10
166,[MVP++] nawun [ENIGMA],8095,543,29642,23131,3.68,0.65,9.31
167,[MVP++] livings [ERA],8081,594,27052,28129,5.01,0.95,17.02
168,[MVP+] Pro_Batman [ROCK],8071,731,29536,20028,1.55,0.62,3.82
169,[MVP++] Xaample [FAZE],8044,592,20963,25802,8.17,1.04,23.56
171,[MVP+] Privia [FAZE],8033,617,24995,21568,2.60,0.66,6.55
172,[MVP++] Cwtches [KIQX],8030,815,19186,16750,3.32,0.69,6.49
173,[MVP++] 5some [DARK],8014,420,14484,18028,7.53,0.63,15.46
174,[MVP+] ProDucktive [GGMEN],8005,582,18131,22329,2.90,0.52,8.35
175,[MVP+] BeachManPlayz [STORM],7969,745,24105,25023,1.48,0.48,4.63
176,[MVP++] SpookyFrqd [FAZE],7963,604,24393,22052,2.25,0.55,5.53
177,[MVP+] TOXCI [HUNNIT],7955,385,8773,14904,6.11,0.38,10.01
178,[MVP++] DaddyChristina [IYN],7951,451,12472,22331,9.88,0.74,27.43
179,[MVP+] AustralianFlag,7932,479,19373,25342,4.69,0.78,14.31
180,[MVP+] shorthippo420 [FAZE],7922,471,14009,26430,10.84,0.64,32.67
181,[MVP+] StrayEnigma [THORN],7894,882,44814,25495,1.15,0.75,4.08
182,[MVP++] Ankaid [ASSIST],7893,679,21578,21935,2.28,0.61,5.82
183,[MVP+] UzaiReach [FAZE],7885,425,12978,21519,11.65,0.48,25.53
184,[MVP++] radicul [ANNOY],7869,659,27822,34570,3.34,0.88,14.35
185,[MVP++] Ykoz [DEMON],7854,536,14401,17722,3.48,0.49,6.96
186,[MVP+] rayyser,7809,378,13710,24073,6.79,0.53,21.69
187,[MVP+] RockZombies [NOLIFE],7797,595,21596,27554,2.76,0.68,10.96
188,[MVP++] JyraBee [BLOOD],7778,708,16897,11793,2.57,0.59,3.49
189,[MVP+] Brunches [FOO],7762,458,14391,19568,3.91,0.50,9.89
190,[MVP+] Ewwoooo [AUREUS],7732,716,22675,21983,3.24,0.81,8.18
191,[MVP+] miksy21 [IYN],7714,526,17281,25787,9.83,0.69,31.03
192,[MVP++] BallisticMudkip [DREAM],7685,519,14148,21227,3.55,0.47,9.11
193,[MVP+] Motthe [IYN],7676,594,15741,20520,9.07,0.71,30.86
194,[MVP+] xColoR [S],7658,664,30173,25693,2.33,0.82,7.67
195,[MVP+] telb [ABYSS],7624,696,21582,23403,2.62,0.66,7.69
196,[MVP+] Technomaid [IYN],7598,521,17884,25145,19.79,0.89,58.48
197,[MVP++] ohWei [8APPLE7],7586,739,24201,25032,3.30,0.90,10.65
198,[MVP+] SithLordRaid,7577,684,30334,27761,1.94,0.96,8.66
199,[MVP++] iEric [THORN],7571,815,23719,23721,4.22,0.91,12.98
200,[MVP++] OnoynxCorey [ONION],7554,686,12314,10830,2.64,0.54,3.44
201,[MVP+] oSarah [ENIGMA],7553,652,22992,20915,2.45,0.63,6.25
202,[MVP++] VideoGaimz [SOS],7552,509,16486,20615,3.70,0.54,8.89
203,[YOUTUBE] LuxGlez_YT [TLG],7544,610,24183,34802,4.41,0.75,21.35
204,[MVP+] JDvbs,7539,426,11410,28506,4.94,0.50,17.84
205,[MVP++] oFury [LUCID],7497,570,26216,30318,2.72,1.01,10.36
206,[MVP+] HarryPotthe [KS],7496,485,17577,23819,8.19,0.78,24.28
207,[MVP+] Defone [IYN],7493,369,19474,28608,18.83,1.12,71.70
208,[MVP+] PoloWeen [TRAGEDY],7487,773,33155,30966,0.85,0.53,3.59
209,[MVP+] Deadia [TRAGEDY],7476,461,15432,13572,1.56,0.40,3.01
210,[MVP+] _Ayumii [GGMEN],7461,430,14272,24447,5.49,0.91,16.65
211,[MVP+] SparkSpeed [HAPPY],7448,698,27670,26698,2.69,0.79,10.34
212,[MVP+] Aziqn,7436,597,20458,18883,1.59,0.50,4.10
213,[MVP+] eGirlTawty,7418,594,24567,19024,1.75,0.91,4.31
214,[MVP+] Jxliia [IYN],7386,473,9957,14642,5.84,0.40,10.20
215,[MVP+] 46e [STORM],7371,692,19795,20690,2.34,0.44,6.24
216,[VIP+] JlKU [SKREIWA],7366,799,20212,14330,1.91,0.42,3.65
217,[MVP++] NoobyBoy81 [NOOBY],7348,659,22498,24978,2.00,0.65,6.62
218,[MVP+] xVorto [THORN],7319,410,20902,22108,1.56,0.69,5.30
219,[YOUTUBE] Heamou [MAD],7319,483,10393,14999,12.26,0.36,21.31
220,[MVP+] knightsalt [ΘREBLΘ],7302,452,15664,20267,4.96,0.66,12.58
221,[MVP+] Liacutie [FAZE],7296,601,19139,17650,2.46,0.47,5.91
222,[MVP+] RANKTW,7266,572,10942,17924,9.59,0.93,20.53
223,[MVP+] 1DEX [PURGA],7266,662,31561,39566,2.03,0.90,11.23
224,[MVP++] oMatthew [FOO],7254,564,25799,23768,4.28,0.97,14.74
225,[MVP+] potato_nicola [IYN],7228,812,15068,13626,1.26,0.38,2.24
226,[MVP+] redsi,7200,448,17342,16670,2.73,0.69,6.30
227,[MVP+] UNMUTECURVELMFAO,7180,448,23208,28020,3.31,0.95,14.17
228,[MVP+] askfl [ENIGMA],7174,587,28026,28460,2.18,0.88,8.64
229,[MVP+] badtothebone007 [SOUL],7167,607,36174,29481,1.78,0.79,6.99
230,[MVP+] Tamii [BLUE],7165,786,7926,5253,0.68,0.35,0.54
231,[MVP++] undeny [PC],7158,435,10909,18598,17.08,0.66,38.35
232,[MVP++] Czys_ [DARK],7136,515,17115,15338,3.01,0.66,7.11
233,[MVP++] Vixon [STAR],7131,666,21022,22121,6.62,1.14,20.91
234,[MVP+] Jueles,7122,524,31673,30067,2.27,1.41,9.23
235,[MVP+] qoyu [S],7087,716,30068,29677,1.33,0.82,5.57
236,[MVP+] Luvily [LTG],7084,728,26824,16399,1.32,0.71,3.10
237,[MVP+] _okey_ [ASSIST],7073,447,13839,19845,5.14,0.56,14.40
238,[MVP+] Mareshah,7040,362,13950,19985,4.43,0.56,11.21
239,[MVP++] IceQueenChloe [TLG],7018,433,12049,19188,6.79,0.63,16.50
240,[MVP+] indiia [ANNOY],7013,431,13358,12941,4.48,0.53,7.47
241,[MVP+] 1860s [DAWN],7001,707,33819,30838,1.27,0.75,6.27
242,[MVP++] MerryMqroons [CPS],6988,534,18876,19463,3.30,0.60,8.30
243,[MVP+] NoobyBoy84 [DARK],6987,491,30895,28633,2.78,1.59,13.42
244,JINGLEppup [WOKE],6984,801,30421,25853,1.65,0.76,5.90
245,[MVP++] TheWildDestroyer [SAVAGE],6976,691,17549,14338,2.70,0.50,5.40
246,[MVP+] Chikosaur,6975,431,17512,20809,4.78,0.82,13.48
247,[MOD] shrekster [SHREK],6963,892,18092,15764,1.98,0.62,4.22
248,[MVP+] S0fa [IYN],6954,367,9322,21435,12.62,0.70,34.08
249,[MVP+] ItsEmmanGaming [ICKY],6940,837,29243,20391,1.79,0.97,6.33
250,[MVP+] xApAn [FAZE],6935,585,25925,23221,2.03,0.84,7.58
251,[MVP+] MbruceM [D12],6923,511,22226,27439,5.35,1.04,21.50
252,[MVP+] Stonekeep [DARK],6923,431,16542,23126,4.51,0.64,13.88
253,[MVP+] IntoTheFuture [ASSIST],6916,480,20179,20654,1.61,0.60,4.79
254,[MVP+] iEatElders [SCAFLD],6900,313,10370,13932,6.24,0.46,9.83
255,[MVP+] Slypnn [STORM],6897,665,19452,22967,3.02,0.81,9.53
256,[MVP+] SpookyKaz [PURGA],6881,505,12167,14772,2.52,0.66,5.80
257,[MVP+] Manned,6878,481,11039,13897,3.56,0.56,7.84
258,[MVP+] Loratix [STORM],6874,723,25897,24013,4.02,0.88,12.84
259,[MVP++] BritishDads [DADDY],6873,557,20681,20078,1.82,0.64,5.09
260,[MVP+] ZakOnTop [FOO],6867,406,12313,19603,3.88,0.63,10.84
261,[MVP+] Fenetre [LG],6862,705,19154,23834,3.77,0.59,11.70
262,[MVP+] Tqrm [FROG],6843,746,32556,30810,1.20,0.92,5.51
263,[MVP+] DenisPlayMc,6840,566,19921,17288,1.74,0.52,4.45
264,[YOUTUBE] Purpled [PURPLED],6835,607,22729,28226,3.99,1.15,17.15
265,[MVP+] Liiilly,6802,611,19035,14693,1.72,0.50,3.68
266,[MVP+] Fuzzicle [IYN],6801,637,29024,27173,2.70,0.93,10.95
267,[MVP+] plasticBEACH [VIBES],6788,564,25455,25962,1.46,0.69,5.65
268,[MVP+] ItsAnna [ＳＵＢ２ＭＥ],6786,477,17365,12923,3.10,0.62,5.37
269,[VIP+] MasterFireGG [DARK],6783,352,15913,25190,7.94,1.29,27.71
270,[MVP+] Rilix [TRAGEDY],6754,412,15265,18258,6.01,0.68,16.80
271,[MVP++] willy20051109 [JL],6750,632,23661,18026,1.63,0.61,4.20
272,[MVP+] Slies [SLY],6744,356,10397,19675,5.44,0.79,14.12
273,[MVP+] Mankato [LIX],6727,624,16150,14398,2.55,0.51,5.46
274,[MVP+] FrostyHoliday,6726,449,27536,21366,3.78,1.15,11.46
275,[MVP+] cyclia [FAZE],6715,517,16473,14771,4.59,0.54,8.47
276,[MVP++] Mxdelief [DARK],6711,709,26083,17059,1.79,0.91,4.77
277,[MVP+] babyeastercow [WOFFS],6675,789,31765,27646,0.59,0.57,2.52
278,[MVP+] maartzee [UWU],6667,1006,49710,26370,0.68,0.61,2.63
279,[MVP+] XyrateX [S],6666,555,27566,20655,4.27,1.00,11.93
280,[MVP+] Plexxed,6664,527,16617,16032,3.47,0.63,8.69
281,[MVP+] xSkyRes,6631,414,13011,16381,3.02,0.52,7.15
282,[MVP+] Bloody_Fangz,6627,581,13267,11567,1.23,0.49,2.59
283,[MVP+] Paradais [ITAPRO],6605,573,25549,24731,1.28,0.62,4.90
284,[MVP++] Vortie [NANI],6594,526,29344,25041,2.99,0.84,11.12
285,[MVP++] SpookySchooI [FAZE],6594,594,20588,20766,1.73,0.53,5.17
286,[MVP+] cloutchasermel,6592,563,20220,16509,1.35,0.59,3.74
287,[MVP+] Dynamax,6576,326,9673,20036,27.4,0.92,84.19
288,[MVP+] SaltyHobo [NOLIFE],6566,432,15281,23848,6.05,0.57,20.38
289,[MVP+] JermJermSiwa [STORM],6557,616,22052,23309,4.28,0.90,13.77
290,[MVP+] Ultra_timelord [OXFORD],6550,519,11048,6057,1.64,0.26,1.37
291,[MVP++] RanxDoo [MOVE],6541,587,21772,19107,1.21,0.61,3.99
292,[MVP+] Primecover,6535,437,12756,18721,6.72,0.55,19.90
293,[MVP+] aiidan [FREEZE],6530,584,48884,27632,1.15,1.25,4.69
294,[MVP++] meowfur [FAZE],6525,549,28577,26534,2.04,1.30,9.65
295,[VIP] vmev [VIBES],6523,645,26330,20235,1.50,0.62,4.68
296,[VIP] Dybz,6496,239,4443,11629,7.23,0.28,11.37
297,[MVP++] Ik4nOn [ＳＵＢ２ＭＥ],6490,611,14787,15316,1.85,0.51,4.36
298,[MVP+] BudderrrLord,6487,298,6915,20313,9.61,0.42,24.86
299,[MVP+] sskL [STORM],6476,449,16482,15709,4.24,0.60,9.67
300,[MVP+] IIB,6450,375,18097,18130,3.45,0.81,9.24
301,[MVP++] NotGak [IYN],6435,505,20541,17721,3.25,0.80,8.44
302,[MVP+] kauga [RAID],6430,528,18521,16122,1.34,0.56,4.23
303,[MVP+] lamingt [NAW],6411,397,12552,19036,6.87,0.78,18.06
304,[MVP+] Seajuwel [CHIRP],6407,710,29071,21191,1.96,0.91,6.32
305,[MVP++] sydneybrooke [GGMEN],6390,549,15626,17053,4.22,0.66,10.27
306,[MVP++] Ilect,6383,519,13533,16945,3.68,0.71,10.33
307,[VIP+] Godiey [ICKY],6377,612,21602,15764,1.98,0.54,5.14
308,[MVP+] Lemon69xoxouwuXD,6367,496,26438,21385,1.16,0.73,3.85
309,[MVP+] iWacky,6363,240,6132,15917,10.31,0.48,23.04
310,[MVP++] giorna [JC],6347,381,14777,20730,5.97,0.84,20.48
311,[MVP+] NNF [SALTY],6344,599,25444,15830,2.30,0.89,5.20
312,[MVP++] OTDX,6311,436,22659,34175,3.28,1.31,20.44
313,[MVP+] TALIKA [FAZE],6296,601,12735,12164,1.76,0.47,3.41
314,[MVP+] Jamesiyn,6290,488,27295,26202,1.68,0.97,6.93
315,[MVP++] shortkitty420 [FAZE],6287,488,16349,21496,5.42,1.02,18.96
316,[MVP+] fuzl [ANNOY],6286,458,10064,11880,3.15,0.40,5.30
317,[MVP+] PekaPeka,6285,531,15605,21851,3.92,0.82,12.26
318,NeelCutie [FAZE],6269,498,8885,9629,2.27,0.37,3.17
319,[MVP+] Sharsherah [DEMON],6266,495,18210,20016,3.01,0.66,9.55
320,[MVP+] Doublefan [SLEEPY],6264,356,13666,20419,3.62,0.56,13.25
