Id,K,D,K/D,FK,FD,FK/D,W,L,W/L,Beds Broken
159,6469,10221,0.63,7699,479,16.07,2954,526,5.62,2762
160,11306,25571,0.44,13327,1887,7.06,6087,1561,3.90,5756
161,10234,18767,0.55,11099,560,19.82,4376,495,8.84,3682
162,11893,13412,0.89,7246,1241,5.84,2539,1293,1.96,2478
163,7831,12522,0.63,6713,897,7.48,3101,968,3.20,2030
164,9831,20469,0.48,12867,1436,8.96,4600,1352,3.40,4825
165,4395,9934,0.44,11653,278,41.92,5402,234,23.09,3359
166,20277,31689,0.64,16774,1345,12.47,6412,1116,5.75,5203
167,11086,12699,0.87,11997,576,20.83,4273,530,8.06,3489
168,21871,35656,0.61,15488,3233,4.79,6825,3073,2.22,4683
169,10751,13085,0.82,16568,458,36.17,5861,361,16.24,5451
171,12959,20243,0.64,11634,1366,8.52,5217,1208,4.32,3369
172,8399,13086,0.64,7935,979,8.11,4589,845,5.43,2219
173,9580,17140,0.56,14266,685,20.83,6744,575,11.73,4431
174,2760,5446,0.51,2933,408,7.19,1298,413,3.14,1138
175,11104,24334,0.46,11768,1995,5.90,4674,1880,2.49,3651
176,5031,10548,0.48,5454,622,8.77,2293,490,4.68,1950
177,6201,17710,0.35,12132,1061,11.43,6807,827,8.23,4678
178,6235,9895,0.63,13154,370,35.55,5272,337,15.64,4044
179,8173,14049,0.58,12462,664,18.77,4951,530,9.34,4529
180,7614,14086,0.54,16087,345,46.63,5653,288,19.63,5295
181,15513,20106,0.77,7662,1591,4.82,3153,1684,1.87,2929
182,9683,17949,0.54,12682,1326,9.56,5505,1040,5.29,4857
183,8293,19017,0.44,14656,447,32.79,5965,325,18.35,5293
184,4969,7186,0.69,7357,324,22.71,2031,292,6.96,2458
185,7437,16825,0.44,10850,1195,9.08,5238,979,5.35,3306
186,8549,17493,0.49,17211,556,30.96,6159,485,12.70,5165
187,7526,12529,0.60,11606,775,14.98,3819,827,4.62,4332
188,14152,23749,0.60,9841,2602,3.78,6734,2331,2.89,4361
189,9501,20938,0.45,14328,971,14.76,6422,878,7.31,3929
190,9094,13475,0.67,10199,913,11.17,3919,755,5.19,3872
191,8050,13946,0.58,14359,269,53.38,5100,237,21.52,5046
192,7150,18255,0.39,12886,672,19.18,5209,566,9.20,5495
193,8380,14423,0.58,14029,235,59.70,5850,238,24.58,3711
194,14255,17486,0.82,13862,1256,11.04,4445,1135,3.92,3664
195,7432,13410,0.55,8587,982,8.74,3552,903,3.93,3175
196,4277,7112,0.60,10439,98,106.52,3750,77,48.70,2266
197,13915,15885,0.88,15719,944,16.65,5130,883,5.81,4688
198,5814,6549,0.89,3451,894,3.86,1260,942,1.34,1137
199,2967,4141,0.72,3676,236,15.58,1532,187,8.19,1291
200,6500,12035,0.54,6131,1264,4.85,5249,1058,4.96,1970
201,9210,14454,0.64,7988,1074,7.44,3580,944,3.79,3008
202,6705,13424,0.50,8845,795,11.13,3731,649,5.75,3445
203,1910,2390,0.80,2911,96,30.32,820,91,9.01,854
204,2937,8019,0.37,9932,394,25.21,3759,336,11.19,3296
205,3498,4469,0.78,4062,331,12.27,1267,288,4.40,1295
206,7553,12277,0.62,14804,317,46.70,5101,224,22.77,3737
207,10368,10703,0.97,17354,129,134.53,5072,116,43.72,4835
208,1806,3006,0.60,1111,363,3.06,396,392,1.01,452
209,5226,13369,0.39,4069,1415,2.88,2701,1560,1.73,1769
210,8104,9499,0.85,15252,795,19.18,4760,726,6.56,5032
211,5771,6655,0.87,3797,561,6.77,1333,610,2.19,1162
212,7168,16218,0.44,8169,1057,7.73,4212,860,4.90,2855
213,10618,13594,0.78,10280,1835,5.60,4762,1674,2.84,3670
214,6655,18152,0.37,10778,790,13.64,5993,642,9.33,4183
215,7665,18203,0.42,7736,1040,7.44,3532,893,3.96,3411
216,10401,22822,0.46,6024,1658,3.63,3656,1658,2.21,2476
217,12587,20549,0.61,15563,1794,8.68,4921,1662,2.96,5519
218,5326,4571,1.17,1639,633,2.59,490,941,0.52,563
219,6065,18669,0.32,9456,370,25.56,5163,300,17.21,3871
220,6819,12584,0.54,11561,710,16.28,4815,578,8.33,3677
221,11361,24443,0.46,11013,1421,7.75,4968,1335,3.72,5440
222,6776,8914,0.76,13289,460,28.89,5276,366,14.42,3535
223,8601,10037,0.86,10069,601,16.75,2642,557,4.74,3399
224,9342,10539,0.89,10000,479,20.88,3456,441,7.84,2587
225,10467,27635,0.38,9640,2969,3.25,5992,2582,2.32,5055
226,8024,13235,0.61,9794,771,12.70,4717,650,7.26,3116
227,3097,4155,0.75,4299,240,17.91,1299,217,5.99,1391
228,5091,6416,0.79,5438,432,12.59,1723,412,4.18,1624
229,23262,27503,0.85,16077,2216,7.25,4252,2130,2.00,5446
230,3551,9933,0.36,2103,3665,0.57,4361,3775,1.16,699
231,6788,12638,0.54,14558,212,68.67,5907,166,35.58,5168
232,10470,17678,0.59,12190,1003,12.15,5931,993,5.97,3241
233,3120,5060,0.62,4325,186,23.25,1990,154,12.92,1739
234,16693,12558,1.33,16682,1479,11.28,4289,1426,3.01,5467
235,7633,10006,0.76,8260,947,8.72,2438,904,2.70,2933
236,12656,16703,0.76,7794,1776,4.39,4212,1714,2.46,2385
237,6869,14394,0.48,12161,477,25.49,5162,400,12.91,3420
238,8184,16222,0.50,14071,837,16.81,5388,640,8.42,4565
239,6339,11923,0.53,12166,488,24.93,4925,411,11.98,4273
240,9673,18688,0.52,10528,977,10.78,5838,797,7.32,3606
241,9117,12694,0.72,8037,856,9.39,2638,840,3.14,3308
242,5889,9864,0.60,5831,650,8.97,2360,568,4.15,1944
243,6574,5804,1.13,9019,318,28.36,2743,289,9.49,2321
244,8674,12665,0.68,7662,966,7.93,2916,885,3.29,2959
245,13449,26947,0.50,11017,1681,6.55,5804,1628,3.57,4120
246,6620,9951,0.67,10068,427,23.58,4070,329,12.37,3204
247,12121,20145,0.60,11037,2261,4.88,5263,2086,2.52,4917
248,4858,8555,0.57,15507,227,68.31,5449,177,30.79,3824
249,10471,10376,1.01,7416,750,9.89,3030,866,3.50,2411
250,12517,14954,0.84,11917,970,12.29,4089,918,4.45,4243
251,4562,5935,0.77,7117,211,33.73,2496,175,14.26,1956
252,9447,16209,0.58,14676,686,21.39,5158,551,9.36,4304
