Id,K,D,K/D,FK,FD,FK/D,W,L,W/L,Beds Broken
912,9407,7297,1.29,5380,829,6.49,1448,792,1.83,1759
913,2857,1075,2.66,1584,92,17.22,436,92,4.74,325
914,7242,3878,1.87,4999,229,21.83,1263,205,6.16,1209
915,7971,18081,0.44,4911,1734,2.83,2592,1958,1.32,1681
916,7831,13124,0.60,5696,1298,4.39,2276,1308,1.74,1796
917,3163,2812,1.12,2254,256,8.80,680,259,2.63,802
918,3008,4135,0.73,4447,100,44.47,1731,77,22.48,1095
919,8283,9917,0.84,8045,601,13.39,2773,506,5.48,2664
920,2936,7089,0.41,3848,500,7.70,1629,463,3.52,1566
921,4163,5620,0.74,5799,425,13.64,1733,387,4.48,1833
922,4998,6674,0.75,9161,166,55.19,3212,141,22.78,2496
923,11416,14578,0.78,7636,1555,4.91,2604,1622,1.61,2384
924,7944,12988,0.61,4135,1417,2.92,1953,1257,1.55,1346
925,7958,12064,0.66,8004,753,10.63,3128,765,4.09,3053
926,3068,3783,0.81,3896,222,17.55,1389,208,6.68,1008
927,5961,11523,0.52,3727,1375,2.71,2004,1265,1.58,1409
928,594,615,0.97,368,55,6.69,133,48,2.77,80
929,4586,8143,0.56,5480,197,27.82,2371,211,11.24,1446
930,5634,7500,0.75,5596,273,20.50,2006,225,8.92,1619
931,6241,10629,0.59,3175,1051,3.02,1449,1193,1.21,1003
932,6356,10565,0.60,5882,971,6.06,2377,927,2.56,2159
933,7811,7993,0.98,5664,801,7.07,2306,713,3.23,1466
934,6014,9660,0.62,4502,601,7.49,1442,551,2.62,1774
935,5090,10884,0.47,4534,951,4.77,3088,866,3.57,2698
936,4452,6257,0.71,4863,289,16.83,1719,243,7.07,1657
937,8804,12238,0.72,8605,826,10.42,3150,762,4.13,2490
938,6952,8312,0.84,6673,600,11.12,2454,562,4.37,1903
939,3845,6816,0.56,2979,419,7.11,1637,357,4.59,1137
940,3566,7970,0.45,6717,292,23.00,2859,255,11.21,2114
941,3776,2063,1.83,1989,275,7.23,584,286,2.04,642
942,8757,10993,0.80,9719,569,17.08,3281,488,6.72,3059
943,4203,9330,0.45,7132,758,9.41,3103,624,4.97,2564
944,5704,6823,0.84,5640,423,13.33,1829,423,4.32,1879
945,5924,12280,0.48,3805,770,4.94,3055,639,4.78,976
946,5096,7390,0.69,3896,534,7.30,1327,495,2.68,1132
947,8789,14309,0.61,5632,1449,3.89,2154,1436,1.5,2456
948,7757,6918,1.12,5558,598,9.29,1558,624,2.50,1898
949,3975,5996,0.66,3419,400,8.55,1512,416,3.63,1441
950,4037,5838,0.69,3414,410,8.33,1153,483,2.39,1225
951,6419,7730,0.83,4192,689,6.08,1414,698,2.03,1597
952,7522,5748,1.31,4452,411,10.83,1180,388,3.04,1591
953,1784,2319,0.77,1480,256,5.78,471,234,2.01,391
954,3912,5731,0.68,1770,1433,1.24,1410,1415,1.00,1105
955,4688,7096,0.66,3338,594,5.62,1725,512,3.37,1399
956,9515,14639,0.65,6202,712,8.71,2608,709,3.68,1993
957,5375,8163,0.66,3750,728,5.15,1613,714,2.26,1765
958,8576,10833,0.79,5604,1013,5.53,1777,1103,1.61,1784
959,4870,7519,0.65,4348,574,7.57,2310,471,4.90,1255
960,3629,7565,0.48,3357,807,4.16,1444,746,1.94,1495
961,3680,5892,0.62,6753,664,10.17,3077,606,5.08,2578
962,6496,6481,1.00,4098,765,5.36,1574,739,2.13,1485
963,2024,1690,1.20,1668,216,7.72,442,224,1.97,483
964,6659,12995,0.51,5723,1302,4.40,2495,1228,2.03,1957
965,6007,5824,1.03,4287,480,8.93,1285,479,2.68,1309
966,15227,22537,0.68,6839,3012,2.27,3641,3221,1.13,2399
967,6402,7617,0.84,7004,597,11.73,2261,605,3.74,2115
968,5723,4513,1.27,2243,915,2.45,1675,902,1.86,332
969,5472,7073,0.77,4227,647,6.53,1338,658,2.03,1442
970,3306,4898,0.67,3091,263,11.75,1420,246,5.77,975
971,4533,9889,0.46,10558,656,16.09,3660,517,7.08,3602
972,7069,17781,0.40,5615,1690,3.32,2921,1793,1.63,2831
973,8457,16304,0.52,9282,1506,6.16,3314,1387,2.39,4034
974,1617,1184,1.37,1257,107,11.75,431,107,4.03,538
975,6638,7351,0.90,4669,1057,4.42,1795,1060,1.69,1800
976,1390,1226,1.13,724,183,3.96,429,163,2.63,153
977,15198,15761,0.96,7879,1498,5.26,2540,1510,1.68,2647
978,1753,3371,0.52,3117,287,10.86,1298,242,5.36,1060
979,2951,2934,1.01,3098,143,21.66,1084,125,8.67,825
980,5530,6281,0.88,3566,950,3.75,1388,916,1.52,1213
981,5115,5779,0.89,4287,412,10.41,1437,426,3.37,1462
982,4869,9247,0.53,4891,806,6.07,1872,793,2.36,1540
983,9139,10481,0.87,4090,1211,3.38,3054,1121,2.72,953
