Id, Coins, Current Winstreak, Current Level, Diamonds Collected, Emeralds Collected, Gold Collected, Iron Collected
334,1626820,0,528,36455,16043,241775,1485297
335,3276333,0,948,53663,24637,468377,2651551
336,363951,0,309,9861,5005,159636,1163568
337,570841,2,565,26541,11629,223953,1563839
338,128361,1,457,16145,9750,186641,1201552
339,906673,0,235,3037,4728,127950,837901
340,1785100,1,325,13073,2104,149308,931734
341,871157,7,525,19266,11266,224468,1319989
342,1958799,0,546,52466,14887,361730,1750056
343,672845,1,378,22426,12354,248458,1544824
344,1426480,0,735,85085,34060,401939,2103724
345,879131,0,453,23189,10911,282290,1888907
346,1126719,0,332,12637,7301,162360,1060423
347,2144646,0,456,28195,20495,284753,1898754
348,707626,31,524,17040,13443,239269,1612711
349,490580,4,327,7022,7641,128828,915634
350,2279884,5,490,17607,10238,226842,1376968
351,1200047,0,480,38652,16051,235808,1282519
352,439966,0,640,60411,21152,311534,1560554
353,2015133,0,496,50572,36932,318517,1693507
354,1600663,0,456,38522,22642,271816,1514391
355,1221411,3,399,21755,8826,201359,1325669
356,1397138,16,489,32929,10352,235811,1406638
357,1085921,0,649,34454,16136,228387,1071113
358,1908095,6,530,15551,17579,220527,1591576
359,1728602,19,456,17965,14031,226927,1419054
360,790544,0,372,16189,10455,182969,1120430
361,797456,287,355,11774,6489,159253,1103353
362,1884999,1,449,53181,47652,276154,1560174
363,338383,0,420,12193,17644,230621,1449104
364,2633248,1,562,25556,21455,317161,1885435
365,1199917,30,319,22058,11227,141298,787221
366,4627002,11,724,86244,22553,395099,2746619
367,953713,0,556,39895,13202,214946,1391615
368,1158516,61,475,22646,10514,196386,1179633
369,89694,0,492,16784,10166,218766,1304506
370,1618797,13,582,10349,6002,162559,1116697
371,621325,0,595,37506,13355,286559,1497314
372,201451,6,310,9864,5672,167112,1037098
373,961531,10,436,12303,8291,181811,1134254
374,1018208,0,586,22578,16503,260392,1701197
375,1089664,19,306,8250,4437,150440,1059774
376,678921,7,683,25109,21310,455903,2506461
377,896513,6,315,5102,6327,116615,763048
378,861889,6,378,11024,4117,158006,1023517
379,3287703,5,622,57912,17348,242418,1356159
380,3665639,9,697,72391,22375,339650,1973040
381,1069516,0,447,30132,11656,215706,1300172
382,1929715,9,539,17029,9112,201422,1396529
383,1408541,65,461,30024,19283,251561,1704810
384,201625,27,462,43987,13788,229129,1246802
385,813618,0,622,24767,19847,305776,1852140
386,1142838,2,510,35881,18276,235970,1543435
387,906937,1,476,18224,9461,219695,1479823
388,533296,6,512,30291,19973,221259,1322613
389,2272406,2,447,9377,4931,161238,1128661
390,186530,0,614,32910,27296,292059,1683069
391,82652,0,242,15792,5902,114522,803882
392,1091928,3,552,37289,13940,246579,1482387
393,916852,0,541,26152,19317,263203,1658203
394,323084,0,472,23357,10174,219370,1378497
395,1456569,24,349,7670,4375,134661,935125
396,991231,1,456,10598,10486,198939,1270381
397,775526,1,735,122965,32720,612306,4289460
398,1110676,37,390,17758,7368,114841,772063
399,248903,0,521,24569,11864,185411,1111689
400,3321259,0,519,24979,12839,312441,1960385
401,1267512,1,360,11775,21517,195986,1172480
402,264614,15,576,48492,25250,317998,1800254
403,1108877,5,672,54702,31667,310028,1672032
404,691088,2,568,26830,12448,303100,1907582
405,121229,1,692,43081,24622,338821,1838310
406,866525,28,268,1836,1315,85630,599910
407,4223261,0,612,81222,29913,386129,1780209
408,412137,4,600,21835,15982,251905,1365386
409,822470,0,489,24657,13074,228267,1398577
410,230490,10,567,33015,31204,298420,1581811
411,374576,2,346,15204,8406,157069,1000377
412,3383155,8,624,21183,18975,224981,1299201
413,1305279,2,544,23229,13188,243918,1489023
414,831163,1,523,59613,20858,287442,1682479
415,471818,0,443,19600,8343,198124,1266279
416,1264866,3,551,25981,11759,253820,1420498
417,7297,6,388,20433,6773,151996,1034268
418,340394,0,560,26237,11648,282213,1638664
419,2799753,0,620,50225,28603,331383,2024536
420,2216290,0,418,10154,5193,123986,762446
421,857780,4,503,21343,8071,173061,1056405
422,1281518,0,282,8740,5346,142978,945349
423,2032582,10,582,36123,16631,287486,1764178
424,273317,2,383,18618,10058,202634,1459251
425,1100174,1,276,12585,6041,179792,1236356
426,54829,0,370,33068,8749,231095,1375928
427,869671,76,390,6931,6916,153052,1098540
428,253205,3,518,19400,12848,204756,1491776
429,227040,1,523,18596,9213,231868,1616608
430,1320208,7,328,6390,7640,142424,1029160
431,1136961,624,252,9518,4887,118414,763437
432,680507,0,329,18374,8025,178841,990150
433,1149630,7,610,69762,27753,372583,2345352
434,3818272,12,612,17733,10874,158313,960148
435,1897459,1,522,27050,12652,247068,1345160
436,72222,3,424,10268,8130,180265,1168087
437,251143,0,354,41214,19902,251780,1428786
438,1765457,4,454,12377,10175,184691,1195486
439,210204,3,764,41509,19829,310246,1635296
440,65014,1,255,8493,6371,147180,1021116
441,255740,2,488,27238,10589,225768,1370840
443,1025251,2,405,21422,9568,172349,1136445
444,400921,6,473,18375,14099,270573,1952606
445,204662,12,524,36320,12368,231185,1337014
446,672486,13,444,8906,7400,188822,1276444
447,886015,1,415,24191,10231,208895,1271067
448,695089,2,619,59600,26198,373508,1915587
449,387719,1,426,3936,7055,157230,1054396
450,214895,11,595,45978,18172,330936,1829478
451,2082200,0,414,37186,18452,248420,1455170
452,89934,11,383,12645,6990,172045,1113045
453,1859950,1,515,18647,10203,186778,1161662
454,70321,2,615,48544,33956,391660,2471855
455,1485741,0,632,49553,28760,346282,1731645
456,23594,2,439,20544,6806,212685,1191549
457,524843,8,282,8060,8336,122960,817020
458,2118494,6,367,27095,18375,235157,1358975
459,2731320,0,512,23350,5154,236156,1345115
460,1296471,1,445,17328,9280,199469,1009096
461,77213,0,260,9068,5330,123852,844552
462,1886301,0,465,22704,10470,188389,1149908
463,1144667,0,584,15076,13447,260258,1617098
464,2211519,11,642,35147,21161,311877,1638207
465,114817,67,255,2602,822,63623,478208
466,1022700,2,528,32303,16449,255175,1593483
467,384400,1,347,27238,14327,202896,1136713
468,604209,34,345,30515,19133,215476,1391024
469,1097539,1,417,9820,7267,119489,866255
470,275757,1,323,22274,7042,170616,997434
471,1475988,1,693,44896,35127,324703,1757973
472,2735113,0,484,48907,13286,225561,1172982
473,9385,1,487,38160,31243,295470,1678251
474,905279,2,468,9602,7815,210000,1327597
475,1157065,0,452,21900,10508,207291,1328720
476,1830967,1,265,11892,3276,134929,924989
477,563829,0,492,22460,14003,189462,1145695
478,820687,2,492,17484,15844,265240,1560425
479,1073959,0,559,48656,24153,241161,1417375
480,256236,0,494,20412,12733,198844,1176524
481,1981526,1,442,17246,7957,192553,1215220
482,439196,0,320,18330,8028,135442,824877
483,1432524,8,387,18311,7435,160076,1093248
484,710253,1,515,27616,25087,230235,1412924
485,1457976,1,647,63761,22144,283781,1397682
486,760807,1,296,13654,6071,137347,948215
487,1228279,6,413,10018,17929,190126,1117078
488,641372,5,493,28406,8606,176860,1165058
489,265668,9,495,10566,13356,217282,1340253
490,437147,8,562,8647,7161,241632,1470377
491,1624859,59,471,18385,13496,164673,1026374
492,1420207,0,618,36746,14681,358064,1872723
493,1922775,8,544,17827,17277,239793,1534326
494,1129548,2,319,14003,6760,157239,993663
495,176517,2,305,14346,7607,146789,957243
496,2356506,4,581,44692,15318,244766,1335656
497,934311,0,339,8813,6994,142526,944554
498,2993276,0,638,62018,31408,325937,1734626
499,2433756,0,488,37886,21290,262425,1487179
500,1483258,6,413,24997,7469,207842,1220705
501,2760370,0,481,49319,18768,312094,1792491
502,1629196,6,420,17994,14189,165879,1116762
503,1968332,0,451,73180,28825,269233,1197005
504,1326030,47,359,10919,6126,157351,1076038
505,2589793,2,304,9162,4280,100945,688809
506,1998178,6,514,60055,23686,280406,1630174
507,2412234,18,472,46038,14054,271243,1565300
508,1433510,4,425,39958,8878,216484,1159201
509,1029621,2,492,43784,18109,252728,1278354
510,1593249,0,460,15862,8129,237026,1557830
511,2460352,0,619,31480,17892,334542,1971697
512,1052626,3,324,17350,6817,168209,1135151
513,1597002,8,575,29459,7465,202423,1256140
514,1291967,5,424,33862,10265,173087,1013867
515,295627,8,520,27197,17173,216357,1261669
516,1278404,1,483,36896,11172,233281,1353304
517,1522389,0,372,10979,9175,176175,1015228
518,98055,9,553,24573,8018,165523,1097846
519,428190,11,512,17664,11034,232453,1568974
520,1563174,2,571,12748,5379,291661,1492411
521,1056090,2,406,16019,13908,173283,1066677
522,1239018,11,438,9920,6476,138529,966071
523,2004834,46,368,20786,9770,168114,1153352
524,95538,27,278,8781,5029,152797,1133410
525,206377,35,470,42071,11504,176574,1062111
526,114534,5,649,30407,20241,272438,1530882
527,1804802,15,294,16847,7987,153664,1128536
528,713692,0,335,7487,8192,165459,1090559
529,609514,2,389,18346,9597,215261,1426552
530,621691,2,523,35887,19966,217375,1482271
531,286766,0,377,4782,5565,121872,798816
532,2209889,12,544,42486,9315,169991,1207192
533,1684571,14,319,7583,3211,111846,756228
534,482440,2,408,13216,17021,218191,1436803
535,441269,3,468,26290,12248,237411,1320031
536,1621023,8,615,30233,12886,209394,1267094
537,4074862,8,577,17955,17117,224875,1242211
538,1103628,7,547,49583,11636,259234,1538291
539,2233263,0,389,10526,7932,147358,892678
540,1630503,0,387,24779,14671,206772,1233796
541,1363200,0,429,27358,11766,244962,1448086
542,167593,11,384,14827,29959,227327,1515668
543,1940333,2,470,21621,11516,251304,1475323
544,601399,13,332,14558,8411,148706,909344
545,277551,1,283,24065,19402,219549,1432527
546,481494,2,466,22253,8705,192775,1087181
547,474761,10,434,17718,11289,228791,1358182
548,1426317,70,264,8937,1829,87327,581871
549,1565921,22,380,12637,9735,148803,915586
550,2129196,8,559,56395,16651,262740,1406102
551,397839,73,251,7429,4013,140471,1000719
552,208723,24,438,25210,6750,185896,1136816
553,475295,65,239,7699,4261,106901,703698
554,1342885,1,404,7809,7266,141386,953623
555,1952417,0,480,32743,12083,264531,1617890
556,966072,28,336,21003,11648,172681,1100771
557,1445488,4,424,9373,6843,225917,1457041
558,1612475,0,455,21346,12453,263625,1648048
559,554687,0,524,45659,27539,237945,1298199
560,86531,1,533,14871,11492,210459,1288559
561,844952,3,292,12465,4774,128396,849772
562,374112,0,346,30027,13526,216750,1322813
563,311550,0,324,20360,10277,164954,1023321
564,659507,0,629,101964,38268,510917,2653666
565,940556,0,547,21657,17727,250652,1515322
566,985472,0,333,29196,13745,205033,1209344
567,42613,13,575,23517,10610,245646,1372008
568,1734383,1,567,9883,10243,236484,1468175
569,536505,30,528,62338,16730,378875,1828617
570,3312,7,479,35633,18549,248517,1536942
571,394834,0,470,27668,14269,208380,1284369
572,212961,1,221,12249,6754,94145,575560
573,1616872,1,510,21694,7770,216791,1326115
574,168696,3,779,75259,21578,409898,2275539
575,592903,7,474,15054,11375,187025,1183651
576,284426,0,406,34231,12390,192611,1119138
577,1112193,1,619,20903,20405,230504,1592966
578,2227548,2,636,46574,31682,395799,2273244
579,1766034,1,389,19662,7892,146478,1034882
580,227268,0,407,15528,10513,176125,1184986
581,694294,3,365,24695,12614,191086,1032987
582,1142914,0,311,15888,6396,152745,981335
583,14089,1,454,22838,21995,226938,1489052
584,625565,3,416,33000,11268,254631,1223927
585,2026816,4,554,56739,28001,339537,1599011
586,31313,0,535,26577,12677,249304,1341843
587,817526,30,413,12431,10823,221781,1364729
588,210670,71,473,22008,10137,220383,1493297
589,1138963,3,488,21303,13246,250873,1422569
590,411992,0,462,28301,26044,277026,1402655
591,96279,0,221,10616,5291,117455,859120
592,382767,0,507,12787,12558,221504,1321708
593,1698315,3,390,24510,12828,187688,1002458
594,348806,22,463,18144,8130,186472,1209973
595,3937229,2,536,29819,16035,200550,1077389
596,398213,0,326,17764,5284,199210,1194850
597,1611351,1,419,25232,7264,159814,919088
598,1597286,1,427,10810,9255,189445,1245009
599,853028,0,294,13641,9457,152572,930936
600,442558,1,427,25332,11561,229657,1334473
601,684308,11,458,42568,17379,250024,1644938
602,1061753,0,505,35322,18000,240536,1417859
603,733484,6,405,13774,12745,170292,1095105
604,955586,0,312,10173,6144,127602,814950
605,969986,8,486,29437,18236,239384,1301862
606,1155630,2,464,18347,8458,203429,1242136
607,858264,0,228,11632,9593,130788,930393
608,2500466,0,585,32111,24721,257177,1398341
609,134444,1,433,21757,9596,226360,1266279
610,284811,0,260,19109,10932,178630,1204260
611,3008538,6,749,52332,34316,314064,1756142
612,661785,0,423,42108,23179,245209,1280013
613,1528356,3,554,29007,20401,302765,1746603
614,858675,0,422,21505,14401,168189,919755
615,1158903,24,413,17246,6240,188432,1226095
616,581222,12,406,18111,9672,180627,1210159
617,1981506,1,449,29397,15834,207737,1099530
618,919057,13,318,14006,13737,166982,948733
619,301613,3,240,8508,6071,90337,589814
620,913125,7,449,28903,14261,212545,1245259
621,1625916,0,386,15403,11909,215362,1372166
622,1117317,0,338,19861,11695,139143,873371
623,570356,5,434,27803,18947,232041,1357156
624,397455,4,454,34834,30660,241348,1363915
625,92708,0,216,8002,3757,94863,631336
626,1443858,0,524,44904,23038,280363,1570407
627,1399445,2,435,43195,15762,186060,1066295
628,61626,0,564,65909,26628,257219,1358733
629,982966,8,463,24391,13739,211268,1244517
630,87922,4,307,14496,5644,137593,773741
631,1214053,1,356,19880,27572,227349,1521253
632,1044983,4,563,9475,11146,252180,1803127
633,950808,3,295,21977,12513,152299,894853
634,510148,0,452,45921,17884,288431,1710644
635,822936,10,479,64251,34560,298065,1711339
636,2097575,10,519,35506,9437,211201,1386377
637,1076017,159,265,8784,4963,95939,605568
638,361552,0,564,33305,19284,216019,1105848
639,1497621,0,534,41487,23850,312659,1774947
640,270418,2,265,14250,9849,148011,893019
641,1081146,10,543,33068,14208,249198,1536241
642,1436804,0,307,15051,17721,177095,1199875
643,497732,1,403,50096,20608,246050,1205212
644,265414,0,418,16178,11888,200612,1344184
645,530773,321,252,11350,4538,105688,713312
647,1334173,8,505,28236,9713,223100,1415358
648,587878,0,432,19178,7314,178527,1135008
649,1267477,0,504,20619,17671,283824,1781263
650,830063,0,417,20624,12922,232172,1392585
651,472622,0,337,13954,6558,149619,870730
652,1466762,10,421,31110,23872,227988,1334913
653,2076709,0,481,29261,10416,186187,1175878
654,296269,0,318,10930,8976,180644,1222945
655,871462,1,283,13715,8450,115029,758039
656,2001092,19,401,31596,21550,201106,1127761
657,175829,6,330,11484,6163,136442,858741
658,1309218,2,568,36858,17193,257836,1480524
659,2794799,2,479,47003,18924,220952,1113723
660,835816,0,434,35172,16041,251947,1626432
661,217714,0,583,14872,8068,186824,1112384
662,1260545,0,479,18605,13223,210279,1187579
663,111666,3,476,30994,9580,226360,1366285
664,142258,3,336,18550,8312,162410,878603
665,3519806,1,560,65601,40151,328819,1729854
666,2375750,0,505,35210,24169,295586,1829971
667,1739125,0,397,6606,9006,206606,1341656
668,551012,0,623,61363,19874,390247,2311664
669,258159,2,425,43343,16788,228293,1383880
670,1426382,0,379,21285,13221,220149,1517710
671,363561,0,217,12475,6562,150306,1116545
672,309532,0,427,10353,8121,145759,944850
673,2956440,3,509,44439,20231,391279,2299677
674,897113,0,417,23132,11297,204768,1196509
675,1480802,5,329,7680,5483,125864,808335
676,2446499,0,520,24311,12394,246060,1514365
677,1130479,0,336,12804,15813,194173,1199936
678,3014252,4,457,42129,30477,267466,1584212
679,2182346,1,556,30681,18234,251557,1391232
680,1912365,3,479,22625,15592,233755,1273917
681,1569710,4,430,40244,11336,226075,1302636
682,1966993,1,603,30302,9745,228603,1486461
683,830357,0,447,17407,9120,194504,1200332
684,1645432,0,364,16751,5831,150554,811259
685,1237272,100,412,9914,10017,135067,976949
686,1133525,11,175,5513,1419,68485,459303
687,1812880,9,432,26827,13717,184793,1110315
688,891137,0,391,36047,13130,204563,1193072
689,2083579,0,450,25463,18155,208617,1249696
690,386298,1,465,13343,9883,227026,1499018
691,1476900,0,312,7385,8801,128097,852842
692,1813559,14,504,25060,7369,267689,1506039
693,303257,137,215,13678,6260,123556,722654
694,2292077,0,397,21150,13272,266075,1712479
695,2000147,2,497,25227,17979,287259,1692821
696,87693,12,454,25940,19126,180880,1087096
697,521127,1,273,28351,16045,149174,763459
698,59134,0,539,77189,58179,331509,1519084
699,199999,0,259,29181,9635,169333,992497
700,975347,54,320,12386,6779,111154,689425
701,158785,0,256,10779,5543,115900,738370
702,2088117,6,497,17016,7914,189663,1104661
703,1867296,0,424,13121,5369,180162,1227605
704,169445,2,476,46057,24608,225145,1250530
705,3035855,0,542,47036,19619,250957,1252395
706,1096587,0,674,73851,34531,452147,2512249
707,406501,0,192,13370,7477,92854,560542
708,811314,0,257,19504,18878,149159,957592
709,1542591,0,426,7301,7455,166925,1090417
710,1556270,9,364,35025,11459,208284,1170555
711,196121,0,306,18056,9465,124883,860950
712,1579474,5,410,40951,10722,183148,1385837
713,343632,2,373,33182,10983,214384,1110639
714,1654549,64,261,14649,4160,105196,655080
715,820542,10,496,20471,14694,190982,1061661
716,511014,1,518,34308,20153,236424,1444845
717,2115599,1,473,51514,14124,272651,1459029
718,1709726,0,525,43960,32497,217294,1067946
719,1591212,0,353,17080,5275,123936,763108
720,907212,6,185,3011,2612,90794,668410
721,259034,0,528,36967,34682,275670,1479969
722,114791,4,370,26309,12963,171970,941469
723,1291901,1,489,35316,24552,277173,1256215
724,29205,0,362,10535,12487,173575,1180403
725,1346960,5,445,36275,12694,255732,1446407
726,1416375,0,551,24839,18624,250260,1526605
727,1355081,0,403,17881,10251,174690,1261114
728,1706988,0,401,35084,22412,228428,1272168
729,1078003,0,250,11526,8054,104759,672107
730,1612762,6,374,17422,6405,172979,1085905
731,465056,172,201,18943,4985,123503,822779
732,427502,0,437,13412,8114,206975,1392570
733,1020202,12,356,22543,7691,201413,1082189
734,2485538,3,448,28242,7820,222234,1296200
735,1981588,0,457,29525,19896,178535,1046192
736,1226285,1,475,36878,13850,244244,1296928
737,866822,3,406,9790,10144,194133,1226600
738,1226257,9,402,27797,8761,220819,1312234
739,74926,0,224,13250,7993,112109,688984
740,1732262,0,225,17225,7233,118898,784745
