Id, Coins, Current Winstreak, Current Level, Diamonds Collected, Emeralds Collected, Gold Collected, Iron Collected
884,977270,0,280,10066,8467,137184,894756
885,1706040,4,431,8736,4742,176458,1165228
886,1199006,0,437,11312,13406,161518,919784
887,1832634,7,260,15453,8668,120981,695656
888,873246,0,454,35075,17380,272048,1314407
889,1412433,1,319,7811,7600,115935,812312
890,880046,0,407,24121,5957,135715,812960
891,237177,3,448,22817,7899,241515,1342231
892,1425998,0,421,35758,18419,212757,1398855
893,414508,3,529,17957,9882,214477,1215376
894,1427328,2,504,51454,9393,326406,1684236
895,293859,1,332,20273,9326,123976,716975
896,658879,0,479,52453,23574,307546,1634994
897,561154,2,430,20098,2833,263796,1483945
898,259892,22,142,7306,2988,75762,523084
899,844097,5,408,8697,10745,210269,1342511
900,286485,3,278,20478,11087,148019,935401
901,138208,1,344,21953,7069,157747,962884
902,1107379,3,472,15535,11040,147382,837848
903,77843,11,349,11951,6606,131690,768897
904,1850094,0,491,27014,11913,202429,1314615
905,725492,0,236,12921,9462,157917,921515
906,1237648,0,249,5100,2486,85394,552426
907,1153396,0,533,26808,9866,203285,1164205
908,221600,3,437,51485,15707,234176,1346735
909,1554462,43,384,34422,10949,189402,1139033
910,1537996,1,276,20328,5334,105106,702779
911,165044,0,311,11385,10628,149780,1003491
912,2095640,0,496,33022,17136,263555,1412762
913,101874,0,408,35099,13386,180330,912538
914,1069071,0,312,16889,5175,137449,779093
915,1113002,0,376,20742,9052,201826,1211740
916,311241,0,429,23954,13579,244257,1463686
917,1428464,0,504,42771,21507,256380,1315648
918,527546,6,274,11941,2661,98025,562545
919,109251,0,322,15046,10902,132575,845452
920,888018,0,465,19318,10750,206570,1185124
921,1463722,3,269,31656,18681,207831,1174839
922,1276962,42,254,11530,4703,86763,591957
923,784018,0,320,14209,14070,189835,1245047
924,406950,0,474,24360,6225,187777,1220774
925,172939,5,279,15639,6144,157307,1094697
926,2072848,4,325,38646,16098,191924,991118
927,1478311,3,481,21169,15092,257067,1569420
928,1210139,1,479,36307,22789,237023,1189521
929,1713468,68,256,10415,5786,129096,816917
930,785124,6,459,14046,10047,173142,1026274
931,1296581,0,458,26737,10075,219271,1262706
932,993248,1,392,17764,8358,213352,1338637
933,195212,0,411,32387,15681,205368,1205391
934,235224,5,353,14384,10390,161400,969075
935,1883571,0,310,12226,9433,150808,1004789
936,339035,0,331,9839,8902,141287,865438
937,263070,5,246,2424,4938,99815,678729
938,191739,5,390,24579,14363,194439,1197145
939,744292,2,406,15426,7071,150469,879406
940,260424,7,215,12851,5177,100731,613175
941,549247,0,344,29077,11554,188703,914863
942,501901,1,203,4119,3144,76033,530654
943,1066715,1,216,7355,1203,83662,546706
944,779587,2,316,12880,8827,150617,894681
945,157685,52,349,15936,4668,128446,952747
946,296361,1,444,12844,11344,174748,1044272
947,1537919,1,496,21151,14591,228670,1343073
948,66994,0,427,14759,8167,206210,1192632
949,272490,0,412,34107,21004,228133,1266495
950,1863393,0,411,27787,9957,201181,1083477
951,1085118,5,366,27969,13112,257117,1388827
952,1374386,0,489,11505,10377,190740,1106321
953,535278,0,484,34351,37196,290550,1437527
954,331842,0,351,27014,15327,252706,1596728
955,839510,10,325,8934,11580,148702,922337
956,77758,0,354,17073,3532,144700,975468
957,1572714,3,425,27805,16489,251554,1433201
958,437931,1,353,17129,8709,203372,1195160
959,1044869,3,395,37102,8083,152342,917859
960,991830,2,519,20732,14788,269643,1627740
961,477171,0,264,9090,8143,127842,898196
962,99084,2,567,38017,22778,267589,1598165
963,3550509,0,535,40145,15723,280837,1344258
