Id, K, D, K/D, FK, FD, FK/D, W, L, W/L, Beds Broken
496,2169,3540,0.61,1695,699,2.42,374,872,0.43,2101
497,181,337,0.54,153,45,3.4,39,70,0.56,191
498,3017,2699,1.12,2451,480,5.11,599,508,1.18,2574
499,689,707,0.97,458,80,5.73,130,94,1.38,445
500,3354,4076,0.82,3520,682,5.16,720,907,0.79,3814
501,1933,3846,0.50,1627,1025,1.59,344,1166,0.30,2204
502,690,547,1.26,603,81,7.44,144,152,0.95,690
503,16533,10643,1.55,16400,913,17.96,4322,963,4.49,16762
504,479,434,1.10,274,102,2.69,62,126,0.49,322
505,156,93,1.68,137,8,17.13,41,9,4.56,133
506,671,704,0.95,291,126,2.31,79,143,0.55,365
507,1238,2824,0.44,1039,653,1.59,224,767,0.29,1418
508,5353,5924,0.90,6202,672,9.23,1646,711,2.32,6472
509,1970,1289,1.53,1984,217,9.14,539,326,1.65,1955
510,539,718,0.75,440,147,2.99,87,173,0.50,499
511,3013,3752,0.80,2600,1161,2.24,485,1265,0.38,3418
512,67,35,1.91,47,6,7.83,12,7,1.71,48
513,74,110,0.67,61,19,3.21,16,26,0.62,69
514,1412,1513,0.93,1220,230,5.30,260,252,1.03,1335
515,533,1186,0.45,547,150,3.65,142,303,0.47,696
516,1541,1295,1.19,1368,219,6.25,320,247,1.30,1471
517,1577,1320,1.19,1721,145,11.87,426,187,2.28,1721
518,13,26,0.5,2,2,1,0,3,0,0
519,391,466,0.84,153,67,2.28,41,97,0.42,192
520,8685,14672,0.59,7861,3838,2.05,1161,3978,0.29,10422
521,520,550,0.95,234,81,2.89,66,93,0.71,291
522,840,661,1.27,548,86,6.37,137,111,1.23,625
523,167,178,0.94,236,38,6.21,44,47,0.94,244
524,488,715,0.68,682,93,7.33,147,106,1.39,830
525,1823,2063,0.88,1664,217,7.67,428,273,1.57,1831
526,3010,3733,0.81,2485,752,3.30,566,813,0.70,2787
527,288,351,0.82,282,36,7.83,55,81,0.68,341
528,705,1486,0.47,527,277,1.90,95,375,0.25,734
529,48,68,0.71,43,19,2.26,10,26,0.38,49
530,41,51,0.80,17,14,1.21,5,20,0.25,15
531,246,360,0.68,341,60,5.68,67,72,0.93,385
532,102,227,0.45,72,60,1.2,15,60,0.25,99
533,335,308,1.09,348,28,12.43,93,38,2.45,363
534,408,727,0.56,293,220,1.33,56,241,0.23,443
535,4631,6946,0.67,4926,876,5.62,1134,1027,1.10,5347
536,944,1261,0.75,735,266,2.76,202,294,0.69,842
537,1511,2577,0.59,2089,613,3.41,491,641,0.77,2390
538,479,622,0.77,376,159,2.36,95,173,0.55,447
539,500,528,0.95,675,66,10.23,175,67,2.61,732
540,3466,3058,1.13,3424,323,10.60,862,401,2.15,3405
541,2096,2812,0.75,1468,824,1.78,262,855,0.31,1726
542,189,280,0.68,130,74,1.76,26,85,0.31,178
543,996,1542,0.65,842,206,4.09,190,265,0.72,957
544,395,310,1.27,284,28,10.14,70,35,2,299
545,1107,1504,0.74,565,240,2.35,112,340,0.33,687
546,2208,2497,0.88,2612,661,3.95,574,711,0.81,3021
547,2466,4067,0.61,2073,699,2.97,425,992,0.43,2535
548,479,194,2.47,439,1,439,100,3,33.33,449
549,555,837,0.66,474,174,2.72,110,179,0.61,572
550,3774,4037,0.93,3693,397,9.30,982,613,1.60,3854
551,36,68,0.53,19,22,0.86,3,30,0.1,33
552,157,254,0.62,141,47,3,37,49,0.76,167
553,49,78,0.63,83,13,6.38,16,16,1,94
554,753,1066,0.71,487,263,1.85,98,272,0.36,656
555,959,1249,0.77,664,134,4.96,171,157,1.09,704
556,176,233,0.76,125,41,3.05,34,73,0.47,158
557,1103,1535,0.72,973,181,5.38,225,212,1.06,1111
558,1061,1465,0.72,588,427,1.38,127,450,0.28,753
559,4277,4265,1.00,4437,467,9.50,1318,572,2.30,4808
560,1458,2452,0.59,1425,475,3,329,603,0.55,1783
561,155,287,0.54,167,46,3.63,41,53,0.77,227
562,1153,1914,0.60,1028,382,2.69,191,480,0.40,1303
563,517,617,0.84,295,33,8.94,67,64,1.05,336
564,2428,3542,0.69,1848,972,1.90,465,1081,0.43,2448
565,354,817,0.43,344,138,2.49,85,153,0.56,443
566,1412,2332,0.61,1164,631,1.84,199,757,0.26,1492
567,2245,3763,0.60,1457,891,1.64,273,1023,0.27,1764
568,54,88,0.61,37,22,1.68,6,32,0.19,42
569,11478,14016,0.82,9251,2488,3.72,2155,2631,0.82,10403
570,68,197,0.35,46,28,1.64,16,39,0.41,59
571,838,1322,0.63,758,229,3.31,203,310,0.65,902
572,52,28,1.86,47,5,9.4,12,9,1.33,51
573,2150,3506,0.61,1847,649,2.85,382,692,0.55,2275
574,3138,3574,0.88,1934,910,2.13,529,1048,0.50,2298
575,270,614,0.44,182,95,1.92,46,142,0.32,244
576,981,1769,0.55,963,390,2.47,179,439,0.41,1231
577,41,45,0.91,39,19,2.05,11,26,0.42,44
578,3520,4929,0.71,1470,747,1.97,366,874,0.42,1728
