Id,K,D,K/D,FK,FD,FK/D,W,L,W/L,Beds Broken
364,9661,12164,0.79,9146,1193,7.67,3224,1062,3.04,4085
365,1029,1426,0.72,1495,27,55.37,495,25,19.8,514
366,4262,7115,0.60,2513,572,4.39,1532,526,2.91,979
367,1676,3601,0.47,1854,362,5.12,1090,313,3.48,769
368,5963,9120,0.65,6623,514,12.89,2687,472,5.69,2446
369,6560,11722,0.56,5411,1613,3.35,1846,1721,1.07,2260
370,4147,7352,0.56,1673,460,3.64,753,460,1.64,981
371,2247,3158,0.71,1681,380,4.42,550,379,1.45,904
372,3867,6326,0.61,5142,389,13.22,1960,314,6.24,2311
373,3066,4496,0.68,2336,377,6.20,955,331,2.89,831
374,6955,7624,0.91,3674,735,5.00,1622,834,1.94,1624
375,1101,1619,0.68,1116,124,9,477,111,4.30,514
376,8390,9062,0.93,5609,1513,3.71,1719,1712,1.00,3148
377,893,1437,0.62,2091,87,24.03,614,99,6.20,880
378,7532,9860,0.76,6928,528,13.12,2903,541,5.37,3111
379,5090,4768,1.07,3476,376,9.24,1482,393,3.77,1420
380,8362,7698,1.09,3916,499,7.85,1428,443,3.22,1361
381,2916,5198,0.56,3398,507,6.70,1303,474,2.75,1448
382,1791,4586,0.39,1339,278,4.82,835,320,2.61,531
383,1706,2534,0.67,1716,239,7.18,749,207,3.62,707
384,3050,4557,0.67,3263,275,11.87,1210,267,4.53,1368
385,4758,7891,0.60,3187,1039,3.07,1342,1101,1.22,1343
386,1859,2592,0.72,1436,271,5.30,969,268,3.62,516
387,4608,7002,0.66,2687,481,5.59,1136,479,2.37,1150
388,4174,5022,0.83,3245,510,6.36,1494,497,3.01,1382
389,1987,3188,0.62,1449,241,6.01,665,227,2.93,573
390,6547,7586,0.86,5245,810,6.48,1929,844,2.29,2179
391,920,734,1.25,1128,63,17.90,343,73,4.70,444
392,3045,3741,0.81,2072,381,5.44,752,369,2.04,809
393,5169,7118,0.73,3518,751,4.68,1381,734,1.88,1755
394,6198,4646,1.33,3570,326,10.95,1491,282,5.29,1296
395,1490,2190,0.68,1405,151,9.30,531,146,3.64,686
396,2507,4529,0.55,2394,414,5.78,1007,380,2.65,1137
397,4248,8019,0.53,2370,1012,2.34,817,982,0.83,1319
398,1221,2198,0.56,1756,71,24.73,745,58,12.84,751
399,2667,7225,0.37,1389,611,2.27,1048,568,1.85,631
400,4902,8520,0.58,4060,899,4.52,1573,843,1.87,1934
401,4394,11587,0.38,9848,1676,5.88,4536,1366,3.32,5200
402,3156,5413,0.58,3560,539,6.60,1398,557,2.51,1775
403,5090,6681,0.76,2960,639,4.63,1043,595,1.75,1300
404,2885,3639,0.79,1426,410,3.48,465,407,1.14,712
405,6830,8553,0.80,4219,1139,3.70,1191,1135,1.05,1928
406,320,461,0.69,1047,16,65.44,293,15,19.53,382
407,3535,2058,1.72,2336,196,11.92,563,196,2.87,966
408,4344,4959,0.88,3660,766,4.78,1320,720,1.83,1650
409,8407,11877,0.71,5392,1219,4.42,2281,1221,1.87,3265
410,2731,5550,0.49,2928,459,6.38,1404,406,3.46,1364
411,925,1662,0.56,931,156,5.97,470,196,2.40,468
412,4004,7395,0.54,3343,740,4.52,1154,721,1.60,1695
413,5929,8405,0.71,5029,505,9.96,1577,507,3.11,2199
414,3795,6625,0.57,3062,451,6.79,1270,405,3.14,1904
415,3082,5652,0.55,3713,357,10.40,1360,418,3.25,1467
416,5016,5428,0.92,4740,556,8.53,1655,516,3.21,1895
417,1535,2796,0.55,1789,123,14.54,810,107,7.57,897
418,7326,10016,0.73,4684,1042,4.50,1498,1041,1.44,2243
419,2368,3266,0.73,1759,432,4.07,721,414,1.74,816
